Index       TIME             V(VREF)     
159      8.00328276e-06    3.59324786e-01
160      8.00331108e-06    3.59838587e-01
161      8.00333940e-06    3.60352205e-01
162      8.00336772e-06    3.60865640e-01
163      8.00339604e-06    3.61378891e-01
164      8.00342436e-06    3.61891960e-01
165      8.00345268e-06    3.62404845e-01
166      8.00348099e-06    3.62917548e-01
167      8.00350931e-06    3.63430068e-01
168      8.00353763e-06    3.63942405e-01
169      8.00356595e-06    3.64454559e-01
170      8.00359427e-06    3.64966530e-01
171      8.00362259e-06    3.65478319e-01
172      8.00365091e-06    3.65989926e-01
173      8.00367922e-06    3.66501350e-01
174      8.00370754e-06    3.67012592e-01
175      8.00376418e-06    3.68034528e-01
176      8.00382082e-06    3.69055736e-01
177      8.00387746e-06    3.70076215e-01
178      8.00399073e-06    3.72114991e-01
179      8.00410401e-06    3.74150860e-01
180      8.00421728e-06    3.76183827e-01
181      8.00423030e-06    3.76417195e-01
182      8.00424331e-06    3.76650545e-01
183      8.00426934e-06    3.77117129e-01
184      8.00429537e-06    3.77583561e-01
185      8.00432140e-06    3.78049839e-01
186      8.00434743e-06    3.78515965e-01
187      8.00437345e-06    3.78981938e-01
188      8.00439948e-06    3.79447758e-01
189      8.00445154e-06    3.80378940e-01
190      8.00445738e-06    3.80483283e-01
191      8.00446905e-06    3.80691954e-01
192      8.00449239e-06    3.81109205e-01
193      8.00451265e-06    3.81471148e-01
194      8.00453087e-06    3.81796819e-01
195      8.00454910e-06    3.82122414e-01
196      8.00455366e-06    3.82203799e-01
197      8.00455822e-06    3.82285182e-01
198      8.00456050e-06    3.82325871e-01
199      8.00456277e-06    3.82366559e-01
200      8.00456391e-06    3.82386903e-01
201      8.00456399e-06    3.82388174e-01
202      8.00456404e-06    3.82389231e-01
203      8.00456408e-06    3.82389854e-01
204      8.00456408e-06    3.82389956e-01
205      8.00456410e-06    3.82390158e-01
206      8.00456411e-06    3.82390347e-01
207      8.00456412e-06    3.82390519e-01
208      8.00456413e-06    3.82390671e-01
209      8.00456415e-06    3.82390921e-01
210      8.00456420e-06    3.82391201e-01
211      8.00456424e-06    3.82391113e-01
212      8.00456426e-06    3.82390993e-01
213      8.00456427e-06    3.82390949e-01
